Industry,Post_Emp_Direct,Post_Emp_Indirect,Post_Emp_Induced,Post_Emp_Total
87 - Seafood product preparation and packaging,0.0,14.11,387.88,401.99
347 - All other transportation equipment manufacturing,0.0,13.57,119.37,132.93
359 - Surgical and medical instrument manufacturing,0.0,13.12,360.82,373.95
111 - Fabric coating mills,0.0,13.11,37.63,50.74
290 - Telephone apparatus manufacturing,0.0,13.08,17.35,30.43
118 - Cut and sew apparel contractors,0.0,12.84,404.87,417.71
93 - Other snack food manufacturing,0.0,12.49,800.7,813.19
"345 - Motorcycle, bicycle, and parts manufacturing",0.0,12.07,110.97,123.04
253 - Lawn and garden equipment manufacturing,0.0,12.04,11.07,23.1
59 - Other animal food manufacturing,0.0,11.81,463.55,475.36
160 - Phosphatic fertilizer manufacturing,0.0,11.49,29.11,40.61
280 - Power-driven handtool manufacturing,0.0,11.29,17.47,28.76
"372 - Broom, brush, and mop manufacturing",0.0,11.29,63.64,74.93
64 - Soybean and other oilseed processing,0.0,11.09,118.63,129.73
79 - Fluid milk manufacturing,0.0,10.66,729.44,740.1
74 - Canned fruits and vegetables manufacturing,0.0,10.61,672.88,683.49
98 - All other food manufacturing,0.0,10.32,1524.13,1534.45
203 - Cut stone and stone product manufacturing,0.0,10.23,162.13,172.36
"189 - Pottery, ceramics, and plumbing fixture manufacturing",0.0,9.83,65.11,74.94
310 - Electric lamp bulb and part manufacturing,0.0,9.75,32.77,42.52
471 - Other ambulatory health care services,0.0,9.72,6771.14,6780.86
252 - Farm machinery and equipment manufacturing,0.0,9.71,13.88,23.59
254 - Construction machinery manufacturing,0.0,9.51,5.24,14.75
233 - Power boiler and heat exchanger manufacturing,0.0,9.38,8.7,18.08
81 - Ice cream and frozen dessert manufacturing,0.0,8.65,277.8,286.45
162 - Pesticide and other agricultural chemical manufacturing,0.0,8.55,112.41,120.96
3 - Vegetable and melon farming,0.0,8.47,1892.77,1901.25
360 - Surgical appliance and supplies manufacturing,0.0,8.06,474.88,482.94
269 - Rolling mill and other metalworking machinery manufacturing,0.0,7.86,28.09,35.95
485 - Gambling industries (except casino hotels),0.0,7.83,6789.71,6797.54
8 - Cotton farming,0.0,7.61,36.94,44.55
215 - Nonferrous metal (exc aluminum) smelting and refining,0.0,7.55,8.01,15.56
283 - Industrial process furnace and oven manufacturing,0.0,7.1,1.77,8.87
255 - Mining machinery and equipment manufacturing,0.0,7.07,2.01,9.08
120 - Apparel accessories and other apparel manufacturing,0.0,7.04,236.58,243.61
97 - Spice and extract manufacturing,0.0,6.98,385.41,392.39
306 - Analytical laboratory instrument manufacturing,0.0,6.85,16.32,23.17
449 - Veterinary services,0.0,6.8,7294.59,7301.39
"308 - Watch, clock, and other measuring and controlling device manufacturing",0.0,6.38,71.77,78.15
136 - Pulp mills,0.0,6.18,11.63,17.82
95 - Flavoring syrup and concentrate manufacturing,0.0,5.76,141.3,147.06
287 - Electronic computer manufacturing,0.0,5.64,47.4,53.04
73 - Frozen specialties manufacturing,0.0,5.55,945.03,950.57
"96 - Mayonnaise, dressing, and sauce manufacturing",0.0,5.48,265.87,271.36
"248 - Ammunition, except for small arms, manufacturing",0.0,5.27,21.18,26.45
