Industry,Post_Out_Direct,Post_Out_Indirect,Post_Out_Induced,Post_Out_Total
153 - Synthetic dye and pigment manufacturing,0.0,30502793.46,43010586.43,73513379.89
114 - Textile bag and canvas mills,0.0,22160570.14,50766175.38,72926745.52
298 - Electronic connector manufacturing,0.0,36898627.72,34963388.53,71862016.25
108 - Nonwoven fabric mills,0.0,16942620.78,54143250.92,71085871.7
128 - Reconstituted wood product manufacturing,0.0,34625304.62,35629433.79,70254738.41
126 - Veneer and plywood manufacturing,0.0,35846985.28,32996231.07,68843216.35
5 - Tree nut farming,0.0,515347.54,67796303.09,68311650.63
9 - Sugarcane and sugar beet farming,0.0,759277.31,67169509.07,67928786.37
350 - Nonupholstered wood household furniture manufacturing,0.0,445642.29,67391830.82,67837473.1
312 - Small electrical appliance manufacturing,0.0,1897803.71,64819023.83,66716827.54
320 - Other communication and energy wire manufacturing,0.0,42517407.02,24096377.46,66613784.48
